,,,notes,active,confirmed,migratedother,deceased,recovered,delta,delta_confirmed,delta_deceased,delta_recovered
State Unassigned,Unassigned,0,,0,0,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Andaman and Nicobar Islands,Nicobars,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,0,0,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Andaman and Nicobar Islands,North and Middle Andaman,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,0,1,0,0,1,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Andaman and Nicobar Islands,South Andaman,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,19,51,0,0,32,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Andaman and Nicobar Islands,Unknown,0,,-13,7496,0,129,7380,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Andhra Pradesh,Foreign Evacuees,0,,0,434,0,0,434,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Andhra Pradesh,Anantapur,0,,247,156673,0,1089,155337,"{'confirmed': 51, 'deceased': 1, 'recovered': 45}",51,1,45
Andhra Pradesh,Chittoor,0,,2778,234198,0,1783,229637,"{'confirmed': 175, 'deceased': 5, 'recovered': 360}",175,5,360
Andhra Pradesh,East Godavari,0,,3065,281384,0,1232,277087,"{'confirmed': 385, 'deceased': 1, 'recovered': 502}",385,1,502
Andhra Pradesh,Guntur,0,,1605,169978,0,1163,167210,"{'confirmed': 222, 'deceased': 2, 'recovered': 211}",222,2,211
Andhra Pradesh,Krishna,0,,3111,111221,0,1250,106860,"{'confirmed': 148, 'deceased': 3, 'recovered': 187}",148,3,187
Andhra Pradesh,Kurnool,0,,216,123525,0,844,122465,"{'confirmed': 10, 'deceased': 0, 'recovered': 26}",10,0,26
Andhra Pradesh,Other State,0,,0,2461,0,0,2461,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Andhra Pradesh,Prakasam,0,,1470,131478,0,1023,128985,"{'confirmed': 98, 'deceased': 3, 'recovered': 188}",98,3,188
Andhra Pradesh,S.P.S. Nellore,0,,2591,136685,0,973,133121,"{'confirmed': 177, 'deceased': 1, 'recovered': 168}",177,1,168
Andhra Pradesh,Srikakulam,0,,557,121217,0,769,119891,"{'confirmed': 82, 'deceased': 0, 'recovered': 45}",82,0,45
Andhra Pradesh,Visakhapatnam,0,,544,153395,0,1089,151762,"{'confirmed': 63, 'deceased': 1, 'recovered': 181}",63,1,181
