,State,District,notes,active,confirmed,migratedother,deceased,recovered,delta,delta_confirmed,delta_deceased,delta_recovered
0,State Unassigned,Unassigned,,0,0,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
1,Andaman and Nicobar Islands,Nicobars,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,0,0,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
2,Andaman and Nicobar Islands,North and Middle Andaman,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,0,1,0,0,1,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
3,Andaman and Nicobar Islands,South Andaman,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,19,51,0,0,32,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
4,Andaman and Nicobar Islands,Unknown,,-13,7496,0,129,7380,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
5,Andhra Pradesh,Foreign Evacuees,,0,434,0,0,434,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
6,Andhra Pradesh,Anantapur,,247,156673,0,1089,155337,"{'confirmed': 51, 'deceased': 1, 'recovered': 45}",51,1,45
7,Andhra Pradesh,Chittoor,,2778,234198,0,1783,229637,"{'confirmed': 175, 'deceased': 5, 'recovered': 360}",175,5,360
8,Andhra Pradesh,East Godavari,,3065,281384,0,1232,277087,"{'confirmed': 385, 'deceased': 1, 'recovered': 502}",385,1,502
9,Andhra Pradesh,Guntur,,1605,169978,0,1163,167210,"{'confirmed': 222, 'deceased': 2, 'recovered': 211}",222,2,211
10,Andhra Pradesh,Krishna,,3111,111221,0,1250,106860,"{'confirmed': 148, 'deceased': 3, 'recovered': 187}",148,3,187
11,Andhra Pradesh,Kurnool,,216,123525,0,844,122465,"{'confirmed': 10, 'deceased': 0, 'recovered': 26}",10,0,26
12,Andhra Pradesh,Other State,,0,2461,0,0,2461,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
